trained_on	eval_on	accuracy	f1	model	dataset	subset	timestamp	gen_params
relevant_context	relevant_context	0.6785714285714286	0.3315497469384024	llama	MenatQA	counterfactual	2024-11-05 12:15:32	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
mixed_context	relevant_context	0.6607142857142857	0.35697952986555925	llama	MenatQA	counterfactual	2024-11-05 12:15:36	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
relevant_context	wrong_date_context	0.6160714285714286	0.28988156742883636	llama	MenatQA	counterfactual	2024-11-05 12:15:41	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
mixed_context	wrong_date_context	0.6875	0.3671529552963376	llama	MenatQA	counterfactual	2024-11-05 12:15:46	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
relevant_context	random_context	0.6428571428571429	0.29938307345082554	llama	MenatQA	counterfactual	2024-11-05 12:15:51	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
mixed_context	random_context	0.6696428571428571	0.36287872912016	llama	MenatQA	counterfactual	2024-11-05 12:15:56	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
relevant_context	no_context	0.5625	0.28834314703675606	llama	MenatQA	counterfactual	2024-11-05 12:16:01	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
mixed_context	no_context	0.5714285714285714	0.3224844748658881	llama	MenatQA	counterfactual	2024-11-05 12:16:06	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
relevant_context	relevant_context	0.554945054945055	0.25225218830584045	llama	MenatQA	order	2024-11-05 12:16:11	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
mixed_context	relevant_context	0.5274725274725275	0.27761967413542615	llama	MenatQA	order	2024-11-05 12:16:16	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
relevant_context	wrong_date_context	0.5054945054945055	0.2337921989667303	llama	MenatQA	order	2024-11-05 12:16:21	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
mixed_context	wrong_date_context	0.521978021978022	0.2755140562590465	llama	MenatQA	order	2024-11-05 12:16:26	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
relevant_context	random_context	0.46153846153846156	0.18804222244752306	llama	MenatQA	order	2024-11-05 12:16:31	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
mixed_context	random_context	0.4945054945054945	0.222947640736315	llama	MenatQA	order	2024-11-05 12:16:36	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
relevant_context	no_context	0.4230769230769231	0.19253903167734326	llama	MenatQA	order	2024-11-05 12:16:40	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
mixed_context	no_context	0.4340659340659341	0.21712319068790006	llama	MenatQA	order	2024-11-05 12:16:45	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
relevant_context	relevant_context	0.3392857142857143	0.17778944049495743	llama	MenatQA	scope	2024-11-05 12:16:50	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
mixed_context	relevant_context	0.32142857142857145	0.19679813877858945	llama	MenatQA	scope	2024-11-05 12:16:55	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
relevant_context	wrong_date_context	0.29464285714285715	0.14693621038158852	llama	MenatQA	scope	2024-11-05 12:17:00	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
mixed_context	wrong_date_context	0.2857142857142857	0.17977677020785113	llama	MenatQA	scope	2024-11-05 12:17:05	{'max_new_tokens': 16, 'do_sample': True, 'temperature': 0.1, 'top_p': 0.1}
